epoch,global_step,loss,pred_norm,target_norm
1,10,0.643407,11.8652,27.6921
1,20,0.290039,22.8165,27.6919
1,30,0.092464,26.9856,27.6935
1,40,0.025477,27.7797,27.6960
1,50,0.011834,27.5558,27.6970
1,60,0.007208,27.6311,27.6987
1,70,0.004175,27.7528,27.7008
1,80,0.008824,27.4346,27.7014
1,90,0.003607,27.9459,27.7039
1,100,0.004503,27.5316,27.7054
1,110,0.011749,27.3443,27.7035
1,120,0.004878,27.6085,27.7084
1,130,0.004528,27.8141,27.7103
1,140,0.005245,27.5206,27.7120
1,150,0.007806,27.6173,27.7137
1,160,0.002518,27.6973,27.7159
1,170,0.002596,27.8639,27.7176
1,180,0.004591,27.8900,27.7193
1,190,0.006717,27.5888,27.7204
1,200,0.002434,28.0594,27.7229
1,210,0.004293,27.6697,27.7243
1,220,0.002917,27.8967,27.7260
1,230,0.006382,27.6304,27.7270
1,240,0.003535,27.6629,27.7293
1,250,0.002371,27.7015,27.7310
1,260,0.024569,27.3232,26.8911
1,270,0.001653,27.6356,27.7340
1,280,0.002401,27.8755,27.7354
1,290,0.001543,27.7428,27.7369
1,300,0.001737,27.7426,27.7386
1,310,0.002698,27.6914,27.7367
1,320,0.002575,27.9418,27.7405
1,330,0.002640,27.8460,27.7423
1,340,0.001877,27.7925,27.7438
1,350,0.001540,27.7829,27.7449
1,360,0.001565,27.7464,27.7462
1,370,0.001726,27.6942,27.7474
1,380,0.001971,27.8346,27.7488
1,390,0.001679,27.6855,27.7500
1,400,0.001376,27.6469,27.7510
1,410,0.001833,27.6566,27.7521
1,420,0.001693,27.8631,27.7535
1,430,0.002162,27.7914,27.7543
1,440,0.001673,27.7854,27.7557
1,450,0.001510,27.8113,27.7565
1,460,0.001729,27.8781,27.7582
1,470,0.003949,27.7719,27.7597
1,480,0.001310,27.7761,27.7600
1,490,0.001158,27.7518,27.7608
1,500,0.001421,27.8323,27.7616
1,510,0.001316,27.7875,27.7625
1,520,0.001519,27.7916,27.7634
1,530,0.001246,27.6691,27.7642
1,540,0.002759,27.7344,27.7669
1,550,0.001396,27.7085,27.7663
1,560,0.000897,27.5922,27.7671
1,570,0.002546,27.6316,27.7686
1,580,0.001416,27.9160,27.7681
1,590,0.001540,27.8239,27.7693
1,600,0.001388,27.7750,27.7704
1,610,0.001798,27.6675,27.7704
1,620,0.001324,27.7441,27.7712
1,630,0.001518,27.7706,27.7720
1,640,0.001474,27.7214,27.7726
1,650,0.001186,27.7549,27.7731
1,660,0.002302,27.6564,27.7745
1,670,0.001303,27.7914,27.7740
1,680,0.001126,27.8108,27.7746
1,690,0.001507,27.7221,27.7756
1,700,0.001308,27.8436,27.7761
1,710,0.001177,27.7663,27.7762
1,720,0.001260,27.7498,27.7773
1,730,0.001203,27.8312,27.7782
1,740,0.001209,27.9232,27.7776
1,750,0.001123,27.7155,27.7790
1,760,0.002608,27.6648,27.7824
1,770,0.000977,27.7465,27.7791
1,780,0.001101,27.8250,27.7796
1,790,0.001156,27.8419,27.7804
1,800,0.001014,27.8153,27.7800
1,810,0.001094,27.7665,27.7808
1,820,0.000966,27.7464,27.7807
1,830,0.001273,27.7873,27.7837
1,840,0.001015,27.8609,27.7820
1,850,0.001027,27.7659,27.7824
1,860,0.000938,27.7510,27.7821
1,870,0.001035,27.7512,27.7830
1,880,0.000824,27.8862,27.7824
1,890,0.000894,27.8477,27.7840
1,900,0.000700,27.7893,27.7839
1,910,0.000976,27.8738,27.7851
1,920,0.001003,27.7095,27.7860
1,930,0.000811,27.8292,27.7849
1,940,0.001952,27.5095,27.7861
1,950,0.001671,27.6837,27.7858
1,960,0.000972,27.8081,27.7848
1,970,0.000898,27.7353,27.7850
1,980,0.000846,27.7147,27.7864
1,990,0.000823,27.7803,27.7866
1,1000,0.011898,27.6514,27.7839
1,1010,0.001792,27.7665,27.7870
1,1020,0.001213,27.8084,27.7863
1,1030,0.001159,27.8559,27.7877
1,1040,0.000807,27.8148,27.7858
1,1050,0.000940,27.8051,27.7873
1,1060,0.000846,27.8230,27.7857
1,1070,0.000718,27.7904,27.7865
1,1080,0.001100,27.8315,27.7859
1,1090,0.000710,27.7828,27.7862
1,1100,0.000974,27.6676,27.7857
1,1110,0.000740,27.8683,27.7867
1,1120,0.001272,27.7695,27.7869
1,1130,0.001031,27.7070,27.7874
1,1140,0.000857,27.7783,27.7874
1,1150,0.000603,27.7685,27.7852
1,1160,0.000736,27.8763,27.7857
1,1170,0.000680,27.7879,27.7871
1,1180,0.001136,27.7926,27.7908
1,1190,0.000715,27.7711,27.7866
1,1200,0.000717,27.7683,27.7874
1,1210,0.001329,27.7732,27.7876
1,1220,0.001421,27.7183,27.7897
1,1230,0.000923,27.7067,27.7874
1,1240,0.000813,27.8425,27.7861
1,1250,0.000724,27.7435,27.7875
1,1260,0.001422,27.8794,27.7863
1,1270,0.001509,27.7192,27.7876
1,1280,0.001026,27.9073,27.7878
1,1290,0.002884,27.5717,27.7914
1,1300,0.001092,27.6286,27.7859
1,1310,0.000912,27.7927,27.7870
1,1320,0.000920,27.8262,27.7857
1,1330,0.001547,27.6418,27.7855
1,1340,0.000613,27.7993,27.7872
1,1350,0.000752,27.7740,27.7861
1,1360,0.000719,27.8209,27.7843
1,1370,0.000685,27.7619,27.7861
1,1380,0.000781,27.7754,27.7859
1,1390,0.000756,27.7816,27.7844
1,1400,0.004276,27.7771,27.7870
1,1410,0.000828,27.8201,27.7857
1,1420,0.002253,27.9598,27.7861
1,1430,0.001003,27.9278,27.7845
1,1440,0.000711,27.6529,27.7827
1,1450,0.000772,27.8207,27.7860
1,1460,0.000915,27.8281,27.7855
1,1470,0.000824,27.7933,27.7825
1,1480,0.000702,27.7449,27.7858
1,1490,0.000754,27.7670,27.7845
1,1500,0.001168,27.7583,27.7872
1,1510,0.000889,27.8216,27.7849
1,1520,0.000843,27.8095,27.7829
1,1530,0.002228,27.6912,27.7855
1,1540,0.001658,27.8508,27.7848
